q,0.82066,0.46143
w,0.26607,0.64662
e,0.06803,0.07938
r,0.27133,0.16389
t,0.66661,0.39884
y,0.97154,0.02936
u,0.62795,0.73452
i,0.77449,0.70476
o,0.34334,0.34637
p,0.29084,0.90633
a,0.20985,0.09010
s,0.67031,0.56935
d,0.72428,0.62549
f,0.85348,0.23844
g,0.13520,0.81094
h,0.06255,0.29269
j,0.20449,0.48311
k,0.83229,0.55165
l,0.38729,0.98019
shift,0.15704,0.13594
z,0.78125,0.00295
x,0.26483,0.43333
c,0.52235,0.11243
v,0.58520,0.16411
b,0.47726,0.20848
n,0.25042,0.13037
m,0.35027,0.25999
delete,0.12623,0.80599
comma,0.34583,0.98105
space,0.05247,0.01051
dot,0.03902,0.34635
q,w,e,r,t,y,u,i,o,p,0.35571,0.06880
a,s,d,f,g,h,j,k,l,0.90709,0.01993
z,x,c,v,b,n,m,0.13883,0.11201
q,w,e,r,t,a,s,d,f,g,z,x,c,v,0.07766,0.00928
y,u,i,o,p,h,j,k,l,b,n,m,0.39845,0.13953
q,w,e,r,t,a,s,d,f,z,x,c,0.03804,0.01018
y,u,i,o,p,g,h,j,k,l,v,b,n,m,0.32910,0.13057
q,w,e,r,t,0.01966,0.07290
a,s,d,f,g,0.73013,0.03392
z,x,c,v,0.32908,0.01763
y,u,i,o,p,0.90170,0.20981
h,j,k,l,0.13907,0.25226
b,n,m,0.21146,0.16855
a,s,d,f,0.50973,0.02642
g,h,j,k,l,0.18950,0.31907
z,x,c,0.30028,0.05968
v,b,n,m,0.25529,0.15244
